field_name,data_type
I010__SAC__val,INT(3)
I010__SIC__val,INT(3)
I015__SID__val,
I040__TrkN__val,
I060__V__val,
I060__G__val,
I060__CH__val,
I060__spare__val,
I060__Mode3A__val,
I070__ToT__val,
I080__MON__val,
I080__SPI__val,
I080__MRH__val,
I080__SRC__val,
I080__CNF__val,
I080__FX__val,
I080__SIM__val,
I080__TSE__val,
I080__TSB__val,
I080__FPC__val,
I080__AFF__val,
I080__STP__val,
I080__KOS__val,
I080__FX__val,
I080__AMA__val,
I080__MD4__val,
I080__ME__val,
I080__MI__val,
I080__MD5__val,
I080__FX__val,
I080__CST__val,
I080__PSR__val,
I080__SSR__val,
I080__MDS__val,
I080__ADS__val,
I080__SUC__val,
I080__AAC__val,
I080__FX__val,
I080__SDS__val,
I080__EMS__val,
I080__PFT__val,
I080__FPLT__val,
I080__FX__val,
I080__DUPT__val,
I080__DUPF__val,
I080__DUPM__val,
I080__spare__val,
I080__FX__val,
I100__X__val,
I100__Y__val,
I105__Lat__val,
I105__Lon__val,
I110__SUM__val,
I110__PMN__val,
I110__POS__val,
I110__GA__val,
I110__EM1__val,
I110__TOS__val,
I110__XP__val,
I110__FX__val,
I120__spare__val,
I120__Mode2__val,
I130__Alt__val,
I135__QNH__val,
I135__CTBA__val,
I136__MFL__val,
I185__Vx__val,
I185__Vy__val,
I200__TRANSA__val,
I200__LONGA__val,
I200__VERTA__val,
I200__ADF__val,
I200__spare__val,
I210__Ax__val,
I210__Ay__val,
I220__RoC__val,
I245__STI__val,
I245__spare__val,
I245__TId__val,
I270__Len__val,
I270__FX__val,
I270__ORI__val,
I270__FX__val,
I270__WIDTH__val,
I270__FX__val,
I290__TRK__val,
I290__PSR__val,
I290__SSR__val,
I290__MDS__val,
I290__ADS__val,
I290__ES__val,
I290__VDL__val,
I290__FX__val,
I290__UAT__val,
I290__LOP__val,
I290__MLT__val,
I290__spare__val,
I290__FX__val,
I295__MFL__val,
I295__MD1__val,
I295__MD2__val,
I295__MDA__val,
I295__MD4__val,
I295__MD5__val,
I295__MHG__val,
I295__FX__val,
I295__IAS__val,
I295__TAS__val,
I295__SAL__val,
I295__FSS__val,
I295__TID__val,
I295__COM__val,
I295__SAB__val,
I295__FX__val,
I295__ACS__val,
I295__BVR__val,
I295__GVR__val,
I295__RAN__val,
I295__TAR__val,
I295__TAN__val,
I295__GSP__val,
I295__FX__val,
I295__VUN__val,
I295__MET__val,
I295__EMC__val,
I295__POS__val,
I295__GAL__val,
I295__PUN__val,
I295__MB__val,
I295__FX__val,
I295__IAR__val,
I295__MAC__val,
I295__BPS__val,
I295__spare__val,
I295__FX__val,
I300__VFI__val,
I340__SID__val,
I340__POS__val,
I340__HEI__val,
I340__MDC__val,
I340__MDA__val,
I340__TYP__val,
I340__spare__val,
I340__FX__val,
I380__ADR__val,
I380__ID__val,
I380__MHG__val,
I380__IAS__val,
I380__TAS__val,
I380__SAL__val,
I380__FSS__val,
I380__FX__val,
I380__TIS__val,
I380__TID__val,
I380__COM__val,
I380__SAB__val,
I380__ACS__val,
I380__BVR__val,
I380__GVR__val,
I380__FX__val,
I380__RAN__val,
I380__TAR__val,
I380__TAN__val,
I380__GSP__val,
I380__VUN__val,
I380__MET__val,
I380__EMC__val,
I380__FX__val,
I380__POS__val,
I380__GAL__val,
I380__PUN__val,
I380__MB__val,
I380__IAR__val,
I380__MAC__val,
I380__BPS__val,
I380__FX__val,
I380__TCA__val,
I380__NC__val,
I380__TCPnum__val,
I380__Alt__val,
I380__Lat__val,
I380__Lon__val,
I380__PT__val,
I380__TD__val,
I380__TRA__val,
I380__TOA__val,
I380__TOV__val,
I380__TTR__val,
I390__TAG__val,
I390__CSN__val,
I390__IFI__val,
I390__FCT__val,
I390__TAC__val,
I390__WTC__val,
I390__DEP__val,
I390__FX__val,
I390__DST__val,
I390__RDS__val,
I390__CFL__val,
I390__CTL__val,
I390__TOD__val,
I390__AST__val,
I390__STS__val,
I390__FX__val,
I390__STD__val,
I390__STA__val,
I390__PEM__val,
I390__PEC__val,
I390__spare__val,
I390__FX__val,
I390__TYP__val,
I390__DAY__val,
I390__spare__val,
I390__HOR__val,
I390__spare__val,
I390__MIN__val,
I390__AVS__val,
I390__spare__val,
I390__SEC__val,
I500__APC__val,
I500__COV__val,
I500__APW__val,
I500__AGA__val,
I500__ABA__val,
I500__ATV__val,
I500__AA__val,
I500__FX__val,
I500__ARC__val,
I500__spare__val,
I500__FX__val,
I510__SDPSUID__val,
I510__STN__val,
I510__FX__val,
I510__SDPSUID__val,
I510__STN__val,
I510__FX__val,
IRE__CST__val,
IRE__CSN__val,
IRE__TVS__val,
IRE__STS__val,
IRE__spare__val,
IRE__SAC__val,
IRE__SIC__val,
IRE__spare__val,
IRE__TYP__val,
IRE__LTN__val,
IRE__SAC__val,
IRE__SIC__val,
IRE__spare__val,
IRE__TYP__val,
ISP__TRI__val,
